#LAMMPS

40000 atoms # the number of atoms
3 atom types # the number of atomic species


0.00 117.915448 xlo xhi #
0.00 117.068785 ylo yhi #
0.00 117.172598 zlo zhi #

Masses

1 132.90545  # Cs
2 207.2  # Pb
3 79.04 # Br


Atoms

293   1  70.318617810      81.917641300       0.337524150 
294   1  76.405658490      81.938641100       0.389396390 
295   1  82.053261300      81.969102400     117.178342170 
296   1  88.255415750      82.002436570       0.034996810 
297   1  94.228932150      81.891675450     117.177328530 
298   1 100.276968750      82.253584230     116.430878680 
299   1 106.147011980      81.684971780       0.216147180 
300   1 112.029688680      82.169669320     116.586500290 
301   1  -0.010746550      87.281644050       0.094120990 
302   1   5.901317710      88.169830880     116.803403170 
303   1  11.782870670      87.204980390       0.224659530 
304   1  17.601974670      88.054106040     116.839625910 
305   1  23.305908050      87.468640370       0.160201850 
306   1  29.250454980      87.424704450       0.240761210 
307   1  35.063030940      87.528937810       0.301451040 
308   1  41.282632160      87.708338700       0.330820680 
309   1  47.227386620      87.380138710       0.623744890 
310   1  53.144364920      88.047044450       0.103027490 
311   1  59.460505880      87.719188640       0.147325250 
312   1  65.169214840      87.740277410     116.910227090 
313   1  71.270282730      87.776212840     116.951729620 
314   1  76.926113690      87.802356640     116.565981030 
315   1  83.028469220      87.819977840     116.586244860 
316   1  88.698992440      87.874794130     116.275252380 
317   1  94.386132310      87.459918740     116.934425570 
318   1 100.258974850      88.285136610     116.534168670 
319   1 106.150082500      87.339911530      -0.045110010 
320   1 112.044265390      88.216869120     116.661129860 
321   1 117.923185740      93.319792090       0.190228490 
322   1   5.882563500      93.832005480     116.551566450 
323   1  11.799418690      93.282348810       0.365939490 
324   1  17.674870000      93.722012340     116.701441920 
325   1  23.357220140      93.090419220       0.148137860 
326   1  29.019972730      93.237701110       0.150242980 
327   1  35.181500590      93.215874810       0.205503610 
328   1  40.953216490      93.410429080       0.200549740 
329   1  47.220450840      93.346315190       0.734569610 
330   1  52.977637200      93.882885920     117.137232420 
331   1  58.648059010      93.574992670       0.661809700 
332   1  64.663819790      93.603896960       0.713750460 
333   1  70.299072150      93.628605490       0.317517050 
334   1  76.396373820      93.646217320       0.356133920 
335   1  82.052167050      93.644358270     117.143048670 
336   1  88.271817790      93.664761020      -0.044839600 
337   1  94.230920200      93.564475210      -0.132871470 
338   1 100.293561810      93.927175380     116.322161250 
339   1 106.156414560      93.354610690       0.073802750 
340   1 112.034902900      93.861972750     116.393831050 
341   1  -0.009250650      98.990796020     117.134638390 
342   1   5.927209110      99.872785220     116.683237990 
343   1  11.813126600      98.948581020       0.098883600 
344   1  17.568156520      99.829317580     116.755899060 
345   1  23.261272340      99.079440500      -0.016582070 
346   1  29.246622730      98.948257910       0.069988160 
347   1  34.925357580      99.185783450       0.072308360 
348   1  41.137935760      99.117450400       0.182100950 
349   1  47.079537160      99.122421140       0.394449500 
350   1  53.175532330      99.784609010     117.220714200 
351   1  59.471420130      99.439272490       0.117168210 
352   1  65.186109760      99.457635900     116.913693050 
353   1  71.285335820      99.478129960     116.944582090 
354   1  76.928064010      99.500476050     116.530791750 
355   1  83.038051030      99.506725180     116.563649290 
356   1  88.673251500      99.559497450     116.174008220 
357   1  94.372928140      99.164886670     116.815830500 
358   1 100.244914620      99.962324110     116.404477350 
359   1 106.147785510      99.015710600     116.983713050 
360   1 112.045859600      99.921558420     116.496169590 
361   1 117.952493930     105.024031850     117.232363260 
362   1   5.916595540     105.540703220     116.429071880 
363   1  11.841204860     105.003769580       0.224793200 
364   1  17.708598530     105.445252360     116.683469990 
